,Country,Arrivals,Units,2018,2019,2020,2021,2022,Mean Total Arrivals,Recommendation,latitude,longitude,Avg Temp(°C),Avg Rainfall(mm)
41,Comoros,total arrivals,thousands,35.9,45.1,7.0,28.8,,29.2,No Go,-11.875001,43.872219,0.0,0.0
42,Congo,total arrivals,thousands,158.0,,,,,158.0,No Go,-0.228021,15.827659,0.0,0.0
43,"Congo, Democratic Republic Of The",total arrivals,thousands,392.0,479.0,202.0,382.0,,363.75,Go,-4.038333,21.758664,28.0,1.9
44,Cook Islands,total arrivals,thousands,169.0,172.0,25.2,26.3,113.6,101.22,No Go,-21.236736,-159.777671,0.0,0.0
45,Costa Rica,total arrivals,thousands,3313.0,3378.3,1146.5,1375.8,2497.1,2342.1400000000003,Go,9.748917,-83.753428,25.0,2.4
46,Cote D´Ivoire,total arrivals,thousands,1965.0,2070.0,668.0,576.0,2047.0,1465.2,Go,7.539989,-5.54708,28.0,2.8
47,Croatia,total arrivals,thousands,57668.0,60021.0,21608.0,34123.0,50023.0,44688.6,Go,45.1,15.2,25.0,2.3
48,Cuba,total arrivals,thousands,4712.0,4276.0,1086.0,356.4,1614.1,2408.9,Go,21.521757,-77.781167,25.0,3.6
49,Curaçao,total arrivals,thousands,1210.0,1293.0,436.0,418.0,1034.2,878.24,Go,12.1695,-68.990021,28.0,2.4
50,Cyprus,total arrivals,thousands,4024.0,4117.0,632.0,1937.0,,2677.5,Go,35.126413,33.429859,26.0,3.4
51,Czech Republic (Czechia),total arrivals,thousands,36268.0,37202.0,10267.0,10014.0,,23437.75,Go,49.817492,15.472962,27.0,2.5
52,Denmark,total arrivals,thousands,30801.0,32065.0,16031.0,18372.0,31530.0,25759.8,Go,56.26392,9.501785,25.0,3.5
53,Djibouti,total arrivals,thousands,142.0,167.0,75.0,114.0,145.0,128.6,No Go,11.825138,42.590275,0.0,0.0
54,Dominica,total arrivals,thousands,199.0,322.0,140.0,66.0,235.0,192.4,Go,15.414999,-61.370976,25.0,3.4
55,Dominican Republic,total arrivals,thousands,7551.0,7550.0,2748.0,5327.0,8488.8,6332.96,No Go,18.735693,-70.162651,0.0,0.0
56,Ecuador,total arrivals,thousands,2535.0,2108.0,507.0,669.0,1265.0,1416.8,Go,-1.831239,-78.183406,25.0,3.7
57,Egypt,total arrivals,thousands,11346.0,13026.0,3677.0,7998.0,11724.0,9554.2,Go,26.820553,30.802498,25.0,3.6
58,El Salvador,total arrivals,thousands,2536.0,2639.0,707.0,1436.0,2541.0,1971.8,Go,13.794185,-88.89653,26.0,3.5
59,Estonia,total arrivals,thousands,6033.0,6103.0,1695.0,1310.0,3497.0,3727.6,Go,58.595272,25.013607,25.0,3.4
60,Eswatini,total arrivals,thousands,1277.0,1226.0,345.3,210.7,502.5,712.3,Go,-26.522503,31.465866,26.0,2.3
61,Ethiopia,total arrivals,thousands,849.0,812.0,271.0,518.0,897.0,669.4,Go,9.145,40.489673,25.0,3.4
62,Fiji,total arrivals,thousands,1058.0,969.0,168.0,32.0,652.0,575.8,Go,-16.578193,179.414413,25.0,3.3
63,Finland,total arrivals,thousands,3224.0,3290.0,896.0,807.0,2127.0,2068.8,Go,61.92411,25.748151,25.0,3.2
64,France,total arrivals,thousands,211998.0,217877.0,117109.0,141297.0,,172070.25,Go,46.227638,2.213749,25.0,3.1
65,French Polynesia,total arrivals,thousands,260.0,282.0,89.0,95.0,261.4,197.48,Go,-17.679742,-149.406843,25.0,3.1
66,Gambia,total arrivals,thousands,552.0,620.0,246.0,332.0,570.0,464.0,Go,13.443182,-15.310139,25.0,3.0
67,Georgia,total arrivals,thousands,7203.0,7726.0,1513.0,1721.0,4704.0,4573.4,Go,42.315407,43.356892,25.0,3.0
68,Germany,total arrivals,thousands,38881.0,39563.0,12449.0,11688.0,28463.0,26208.8,Go,51.165691,10.451526,25.0,2.9
69,Ghana,total arrivals,thousands,956.0,1130.0,355.0,624.0,915.0,796.0,Go,7.946527,-1.023194,25.0,2.9
70,Greece,total arrivals,thousands,33072.0,34005.0,7406.0,15246.0,29876.0,23921.0,No Go,39.074208,21.824312,26.0,0.8
71,Grenada,total arrivals,thousands,529.0,526.0,217.0,72.0,335.0,335.8,Go,12.262776,-61.604171,25.0,2.8
72,Guadeloupe,total arrivals,thousands,1166.0,,,,,1166.0,Go,16.995971,-62.067641,25.0,2.8
73,Guam,total arrivals,thousands,1549.0,1667.0,328.0,79.0,328.0,790.2,Go,13.444304,144.793731,26.0,2.7
74,Guatemala,total arrivals,thousands,2406.0,2560.0,594.0,666.0,1844.7,1614.14,Go,15.783471,-90.230759,26.0,2.8
75,Guinea-Bissau,total arrivals,thousands,55.0,52.4,,,,53.7,No Go,11.803749,-15.180413,0.0,0.0
76,Guyana,total arrivals,thousands,287.0,315.0,86.5,158.3,288.0,226.96,Go,4.860416,-58.93018,26.0,2.9
77,Haiti,total arrivals,thousands,1333.0,938.0,322.0,148.0,,685.25,No Go,18.971187,-72.285215,0.0,0.0
78,Honduras,total arrivals,thousands,2323.0,2315.0,669.0,826.0,1911.0,1608.8,No Go,15.199999,-86.241905,0.0,0.0
79,"Hong Kong, China",total arrivals,thousands,65148.0,55913.0,3569.0,91.4,604.6,25065.2,Go,22.396428,114.109497,26.0,3.8
80,Hungary,total arrivals,thousands,57667.0,61397.0,31641.0,36688.0,46343.0,46747.2,Go,47.162494,19.503304,26.0,2.9
81,Iceland,total arrivals,thousands,2488.0,2202.0,488.0,717.0,,1473.75,Go,64.963051,-19.020835,25.0,2.9
82,India,total arrivals,thousands,17423.0,17914.0,6337.0,7010.0,14330.0,12602.8,Go,20.593684,78.96288,26.0,2.8
83,Indonesia,total arrivals,thousands,15810.0,16107.0,4053.0,1558.0,5889.0,8683.4,Go,-0.789275,113.921327,26.0,2.9
84,"Iran, Islamic Republic Of",total arrivals,thousands,7295.0,9107.0,1550.0,989.0,4108.0,4609.8,No Go,32.427908,53.688046,0.0,0.0
85,Ireland,total arrivals,thousands,12266.0,12401.0,,,,12333.5,Go,53.41291,-8.24389,25.0,2.8
86,Israel,total arrivals,thousands,4389.0,4905.0,887.0,402.0,2851.0,2686.8,No Go,31.046051,34.851612,0.0,0.0
87,Italy,total arrivals,thousands,93228.6,95399.0,38419.0,40186.0,74317.0,68309.92,Go,41.87194,12.56738,26.0,2.8
88,Jamaica,total arrivals,thousands,4319.0,4234.0,1329.7,1535.0,3330.7,2949.6800000000003,No Go,18.109581,-77.297508,0.0,0.0
